Record,Tags,Comments,Search Term,URL,Date/Time - UTC+00:00 (M/d/yyyy),Date/Time - Local Time (yyyy-mm-dd),Original Search Query,Search Session Start Date/Time - UTC+00:00 (M/d/yyyy),Web Page Title,Previous Queries,Artifact,Artifact ID,Source,Location,Evidence number
11,Of interest,,Is there a map of gun free zones,https://www.google.com/search?q=Is+there+a+map+of+gun+free+zones&rlz=1C1CHBF_enUS790US790&oq=Is+there+a+map+of+gun+free+zones&aqs=chrome..69i57.7335j1j7&sourceid=chrome&ie=UTF-8,3/29/2018 11:13:04 PM,,Is there a map of gun free zones,,Google Search,,Chrome Shortcuts,00a89e7258c746168784e2b6fb966a89,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 26),LoneWolf.E01
12,Of interest,,where the dollar goes farthest vietnam or indonesia,https://www.google.com/search?q=where+the+dollar+goes+farthest+vietnam+or+indonesia&rlz=1C1CHBF_enUS790US790&oq=where+the+dollar+goes+farthest+vietnam+or+indonesia&aqs=chrome..69i57.12225j1j7&sourceid=chrome&ie=UTF-8,3/31/2018 7:49:15 PM,,where the dollar goes farthest vietnam or indonesia,,Google Search,,Chrome Shortcuts,6e8085bcc6b14ac4b1f858d582d84e7d,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 52),LoneWolf.E01
13,Of interest,,indonesia expat jobs,https://www.google.com/search?q=indonesia+expat+jobs&rlz=1C1CHBF_enUS790US790&oq=indonesia+expat+jobs&aqs=chrome.0.0j69i57.6193j0j7&sourceid=chrome&ie=UTF-8,4/5/2018 5:52:56 AM,,indonesia expat jobs,,indonesia expat jobs - Google Search,,Chrome Current Tabs,d788fa17fd5648379dd2044f37186569,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 1412017,LoneWolf.E01
14,Of interest,,iad airport,https://www.google.com/search?q=iad+airport&rlz=1C1CHBF_enUS790US790&oq=iad+airport&aqs=chrome.0.0l6.1672j1j7&sourceid=chrome&ie=UTF-8,3/31/2018 7:56:11 PM,,iad airport,,Google Search,,Chrome Shortcuts,17363a0d27344a5f87db10e446b7e968,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 55),LoneWolf.E01
15,Of interest,,public buildins in reston va,https://www.google.com/search?q=public+buildins+in+reston+va&rlz=1C1CHBF_enUS790US790&oq=public+buildins+in+reston+va&aqs=chrome..69i57.5076j1j7&sourceid=chrome&ie=UTF-8,4/2/2018 1:49:59 AM,,public buildins in reston va,,public buildins in reston va - Google Search,,Chrome Current Tabs,3711f0ff43344c81986a2ab48b35a436,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 851169,LoneWolf.E01
16,Of interest,,most beautiful contries with non extradition,https://www.google.com/search?q=most+beautiful+contries+with+non+extradition&rlz=1C1CHBF_enUS790US790&oq=most+beautiful+contries+with+non+extradition&aqs=chrome..69i57.6188j1j7&sourceid=chrome&ie=UTF-8,3/31/2018 7:39:15 PM,,most beautiful contries with non extradition,,Google Search,,Chrome Shortcuts,dfee71834bf54276864ee8e61ddf961c,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 49),LoneWolf.E01
17,Of interest,,cold dead hands huckleberry,https://www.google.com/search?biw=1366&bih=613&tbm=isch&sa=1&ei=0Qy_WtLgGsLejwOLyAQ&q=cold+dead+hands+huckleberry&oq=cold+dead+hands+huckleberry&gs_l=psy-ab.3...17010.19466.0.19671.12.11.0.0.0.0.141.1089.0j9.9.0....0...1c.1.64.psy-ab..3.2.265...0j0i8i30k1j0i24k1.0.uP-ETYyzQ58,,,cold dead hands huckleberry,3/31/2018 4:21:37 AM,,,Chrome FavIcons,ba783a0c05f44e1b9c89451c780d8127,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 287)
Table: favicon_bitmaps(id: 8)",LoneWolf.E01
18,Of interest,,430 south capital street,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&biw=1366&bih=613&tbm=isch&sa=1&ei=T3S9WqqiJ8q2jwO-xKHIDA&q=430+south+capital+street&oq=430+south+capital+street&gs_l=psy-ab.3..0i10i24k1.7038.11522.0.12948.24.21.0.2.2.0.277.2645.0j11j5.16.0....0...1c.1.64.psy-ab..7.17.2400...0j0i24k1.0.4qNE3d-z5vc,,,430 south capital street,3/29/2018 11:18:39 PM,,,Chrome FavIcons,1a7134efdbf4453eadcc240b6fddd192,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 199)
Table: favicon_bitmaps(id: 8)",LoneWolf.E01
19,Of interest,,uk wants to ban knives,https://www.google.com/search?q=uk+wants+to+ban+knives&rlz=1C1CHBF_enUS790US790&oq=uk+wants+to+ban+knives&aqs=chrome.0.0j69i57.2699j0j4&sourceid=chrome&ie=UTF-8,4/5/2018 5:50:27 AM,,uk wants to ban knives,,Google Search,,Chrome Shortcuts,1ecf0ccfa808410c8f02e05890dce7ed,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 88),LoneWolf.E01
20,Of interest,,hotels in bali,https://www.google.com/search?q=hotels+in+bali&rlz=1C1CHBF_enUS790US790&oq=hotels+in+bali&aqs=chrome..69i57j0l5.2445j0j7&sourceid=chrome&ie=UTF-8,4/3/2018 6:04:29 AM,,hotels in bali,,Google Search,,Chrome Shortcuts,0bd02e1aa99e42da9bc380763001a2bd,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 68),LoneWolf.E01
21,Of interest,,upcoming anti-gun rally near me,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&ei=Ix3DWtbrG4y28AP1zoKwBg&q=upcoming+anti-gun+rally+near+me&oq=upcoming+anti-gun+rally+near+me&gs_l=psy-ab.3...5847.7484.0.7690.11.9.1.0.0.0.219.734.0j4j1.5.0....0...1.1.64.psy-ab..6.3.269...0i13k1.0.nBiTOXpLjMw,4/3/2018 6:21:17 AM,,upcoming anti-gun rally near me,4/3/2018 6:20:19 AM,upcoming anti-gun rally near me - Google Search,,Chrome Current Tabs,8b00f675691a4683bf3dccdda1c65a37,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 742410,LoneWolf.E01
22,Of interest,,will box sync automatically backup desktop,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&ei=c4TFWp-EB6eM0wLczJTwBQ&q=will+box+sync+automatically+backup+desktop&oq=will+box+sync+automatically+backup+desktop&gs_l=psy-ab.3..33i21k1.34102.42911.0.43142.52.40.0.0.0.0.299.4942.0j22j7.30.0....0...1.1.64.psy-ab..22.29.4989.6..0j0i67k1j0i20i263k1j35i39k1j0i131k1j0i22i30k1j33i22i29i30k1j33i160k1.180.QFx0kgRPxFk,,,will box sync automatically backup desktop,4/5/2018 2:05:39 AM,,,Chrome FavIcons,5d36051b23294bdab7cad7ca4d008838,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 626)
Table: favicon_bitmaps(id: 8)",LoneWolf.E01
23,Of interest,,reston virginia democratic party building,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&ei=VIzBWr_gK8ab0gL07KyYBw&q=reston+virginia+democratic+party+building&oq=reston+virginia+democratic+party+building&gs_l=psy-ab.3..33i21k1l2.27351.45191.0.45348.55.49.2.0.0.0.310.5901.0j33j4j1.38.0....0...1.1.64.psy-ab..16.39.5714...0j38j35i39k1j0i67k1j0i131i67k1j0i131k1j0i20i263k1j0i13k1j0i22i30k1j33i160k1j33i13i21k1j33i22i29i30k1.0.m4PH-axeX9o,,,reston virginia democratic party building,4/2/2018 1:50:12 AM,,,Chrome FavIcons,296a2086b8f14ed081b38e300d01c1be,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 449)
Table: favicon_bitmaps(id: 7)",LoneWolf.E01
24,Of interest,,how do i set google drive to auto sync,https://www.google.com/search?q=how+do+i+set+google+drive+to+auto+sync&rlz=1C1CHBF_enUS790US790&oq=how+do+i+set+google+drive+to+auto+sync&aqs=chrome..69i57j0.6585j1j7&sourceid=chrome&ie=UTF-8,4/5/2018 1:51:32 AM,,how do i set google drive to auto sync,,how do i set google drive to auto sync - Google Search,,Chrome Current Tabs,6f8efd86024f4a859d372e34e5bf2ad8,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 1571744,LoneWolf.E01
25,Of interest,,which dc airport has fewest delays,https://www.google.com/search?q=which+dc+airport+has+fewest+delays&rlz=1C1CHBF_enUS790US790&oq=which+dc+airport+has+fewest+delays&aqs=chrome..69i57.10123j0j7&sourceid=chrome&ie=UTF-8,3/30/2018 2:31:10 AM,,which dc airport has fewest delays,,Google Search,,Chrome Shortcuts,b845a02a5cc544c1b03dc06117ab93c2,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 30),LoneWolf.E01
26,Of interest,,soviet quote about americans having too many guns,https://www.google.com/search?q=soviet+quote+about+americans+having+too+many+guns&rlz=1C1CHBF_enUS790US790&oq=soviet+quote+about+americans+having+too+many+guns&aqs=chrome..69i57.12194j0j7&sourceid=chrome&ie=UTF-8,3/31/2018 4:12:43 AM,,soviet quote about americans having too many guns,,Google Search,,Chrome Shortcuts,27a8ed28fff94e8b8b4ffe8ad7563a5c,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 37),LoneWolf.E01
27,Of interest,,dropbox,https://www.google.com/search?q=dropbox&rlz=1C1CHBF_enUS790US790&oq=drop&aqs=chrome.0.35i39j69i57j69i60l3j0.1345j1j7&sourceid=chrome&ie=UTF-8,4/2/2018 1:40:05 AM,,drop,,dropbox - Google Search,,Chrome Current Tabs,0204f019854f40c9a8f4f3542e633d1d,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 264315,LoneWolf.E01
28,Of interest,,dulles to bali,https://www.google.com/search?q=dulles+to+bali&rlz=1C1CHBF_enUS790US790&oq=dulles+to+bali&aqs=chrome..69i57j0l2.5728j1j4&sourceid=chrome&ie=UTF-8,4/3/2018 6:11:40 AM,,dulles to bali,,Google Search,,Chrome Shortcuts,cf8274bd0b8d4cb7a6065686d00ad4e5,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 69),LoneWolf.E01
29,Of interest,,democrat building reston va,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&ei=EYzBWuuiBY3z0wL8_ZTYBg&q=democrat+building+reston+va&oq=democrat+building+reston+va&gs_l=psy-ab.3...11924.15290.0.15575.17.15.0.0.0.0.164.1581.0j12.12.0....0...1.1.64.psy-ab..6.6.773...0i7i30k1j0i7i10i30k1j0i7i5i30k1.0.dhta3SSc0SM,4/2/2018 1:50:15 AM,,democrat building reston va,4/2/2018 1:49:05 AM,democrat building reston va - Google Search,,Chrome Current Tabs,d36c564102784a76922f9aeff22c7fc9,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 852688,LoneWolf.E01
30,Of interest,,how to use google docs as chat,https://www.google.com/search?q=how+to+use+google+docs+as+chat&rlz=1C1CHBF_enUS790US790&oq=how+to+use+google+docs+as+chat&aqs=chrome..69i57j0.9046j1j7&sourceid=chrome&ie=UTF-8,3/30/2018 3:35:31 AM,,how to use google docs as chat,,how to use google docs as chat - Google Search,,Chrome Current Tabs,c57d6531763f4e06b2b859900842d97d,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 54106,LoneWolf.E01
31,Of interest,,cold dead hands,https://www.google.com/search?biw=1366&bih=613&tbm=isch&sa=1&ei=Xwy_WtrRHsvYjwOFq6zoCQ&q=cold+dead+hands&oq=cold+dead+hands&gs_l=psy-ab.3..0l10.110079.112683.0.112958.17.14.1.0.0.0.281.2096.0j3j7.10.0....0...1c.1.64.psy-ab..6.11.2102...0i67k1.0.ieBkvfy6mLU,,,cold dead hands,3/31/2018 4:19:43 AM,,,Chrome FavIcons,d8ea40829f4d42a9be7811000b0911f4,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 286)
Table: favicon_bitmaps(id: 8)",LoneWolf.E01
32,Of interest,,fairfax democrate building,https://www.google.com/search?q=fairfax+democrate+building&rlz=1C1CHBF_enUS790US790&oq=fairfax+democrate+building&aqs=chrome..69i57.7016j0j7&sourceid=chrome&ie=UTF-8,4/3/2018 6:14:42 AM,,fairfax democrate building,,fairfax democrate building - Google Search,,Chrome Current Tabs,faf5d3f33dd5459791b2a4db374f3f1c,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Current Tabs",File Offset 515521,LoneWolf.E01
33,Of interest,,Is there a map of gun free zones D.C.,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&biw=1366&bih=613&tbm=isch&sa=1&ei=F3O9WsaWFtG2jwP845HYCg&q=Is+there+a+map+of+gun+free+zones+D.C.&oq=Is+there+a+map+of+gun+free+zones+D.C.&gs_l=psy-ab.3...21271.23704.0.23969.9.8.1.0.0.0.197.886.0j7.7.0....0...1c.1.64.psy-ab..1.0.0....0.j3xCVYmNG-A#imgrc=obkhtJW5DKMYFM:,,,Is there a map of gun free zones D.C.,3/29/2018 11:13:27 PM,,,Chrome FavIcons,57e839e6a9824b24bb05bf5644ed0089,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 192)
Table: favicon_bitmaps(id: 7)",LoneWolf.E01
34,Of interest,,9mm rifles,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&biw=1366&bih=613&ei=dhC_WoKhG4XSjAOrgIfYBA&q=9mm+rifles&oq=9mm+rifles&gs_l=psy-ab.3..0i67k1j0l9.1524.4346.0.4641.10.10.0.0.0.0.298.1242.0j5j2.7.0..2..0...1.1.64.psy-ab..3.7.1238...46j0i131k1j0i46k1j0i131i67k1.0.P5c2nl-IIno,,,9mm rifles,3/31/2018 4:37:10 AM,,,Chrome FavIcons,ad974e9f18ec48fab28a9cbbcc54eb09,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 317)
Table: favicon_bitmaps(id: 7)",LoneWolf.E01
35,Of interest,,democratic offices in DC,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&biw=1366&bih=613&tbm=isch&sa=1&ei=MHO9WqrTD8OujAP_jYGgDA&q=democratic+offices+in+DC&oq=democratic+offices+in+DC&gs_l=psy-ab.3...84396.93834.0.94108.24.22.0.2.2.0.206.2446.0j18j1.19.0....0...1c.1.64.psy-ab..3.16.1848...0j0i67k1j0i8i30k1j0i5i30k1j0i24k1.0.GWaMVzO7M-4,,,democratic offices in DC,3/29/2018 11:13:52 PM,,,Chrome FavIcons,d7cf40f5063d454cab5e125e56acac6f,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 193)
Table: favicon_bitmaps(id: 7)",LoneWolf.E01
36,Of interest,,mega cloud storage,https://www.google.com/search?q=mega+cloud+storage&rlz=1C1CHBF_enUS790US790&oq=mega+cloud+storage&aqs=chrome.0.0l6.3353j1j7&sourceid=chrome&ie=UTF-8,3/28/2018 12:55:24 AM,,mega cloud storage,,Google Search,,Chrome Shortcuts,3003a219f13143f2b8c8977f9139399c,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 17),LoneWolf.E01
37,Of interest,,democratic national headquarters,https://www.google.com/search?rlz=1C1CHBF_enUS790US790&biw=1366&bih=613&tbm=isch&sa=1&ei=j3O9Ws2xEcyWjwPqlLrwDQ&q=democratic+national+headquarters&oq=democratic+national+headquarters&gs_l=psy-ab.3..0j0i8i30k1l2j0i24k1l2.180936.185676.0.191425.32.22.0.3.3.0.244.2277.0j14j2.16.0....0...1c.1.64.psy-ab..13.19.2302...0i67k1.0.2UWbYcCoaAo,,,democratic national headquarters,3/29/2018 11:15:27 PM,,,Chrome FavIcons,a73d73a0aac344a3be6e06c8c758541d,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Favicons","Table: favicons(id: 4)
Table: icon_mapping(id: 198)
Table: favicon_bitmaps(id: 7)",LoneWolf.E01
38,Of interest,,onedrive,https://www.google.com/search?q=onedrive&rlz=1C1CHBF_enUS790US790&oq=onedrive&aqs=chrome..69i57j69i60j0j35i39j0l2.3642j0j7&sourceid=chrome&ie=UTF-8,4/5/2018 1:57:21 AM,,onedrive,,Google Search,,Chrome Shortcuts,dbc0317f55264b7eaa483f8bc4cc5917,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 63),LoneWolf.E01
39,Of interest,,keltech,https://www.google.com/search?q=keltech&rlz=1C1CHBF_enUS790US790&oq=keltech&aqs=chrome..69i57j0l5.1551j1j9&sourceid=chrome&ie=UTF-8,3/31/2018 4:42:23 AM,,keltech,,Google Search,,Chrome Shortcuts,aa3daae263674a7093e42781357c8e90,"LoneWolf.E01 - Partition 4 (Microsoft NTFS, 476.34 GB)\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts",Table: omni_box_shortcuts(rowid: 42),LoneWolf.E01
